,county_en,province_en,Livestock_int_hist,Livestock_vac_hist,Pop_setting,count,county_count,Population,inf_rate,ses,inf_rate_100k
236,Aqqala,Golestan,1,1,1,1,135,132733,7.53E-06,1,7.53E-01
237,Aradan,Semnan,-1,0,-1,2,29,13884,0.000144051,2,1.44E+01
238,Aradan,Semnan,-1,0,1,3,29,13884,0.000216076,2,2.16E+01
239,Aradan,Semnan,0,0,-1,1,29,13884,7.20E-05,2,7.20E+00
240,Aradan,Semnan,1,-1,-1,1,29,13884,7.20E-05,2,7.20E+00
241,Aradan,Semnan,1,0,-1,15,29,13884,0.00108038,2,1.08E+02
242,Aradan,Semnan,1,0,1,2,29,13884,0.000144051,2,1.44E+01
243,Aradan,Semnan,1,1,-1,5,29,13884,0.000360127,2,3.60E+01
244,Arak,Markazi,-1,-1,-1,5,518,591756,8.45E-06,3,8.45E-01
245,Arak,Markazi,-1,-1,1,6,518,591756,1.01E-05,3,1.01E+00
246,Arak,Markazi,-1,0,0,1,518,591756,1.69E-06,3,1.69E-01
247,Arak,Markazi,-1,0,-1,37,518,591756,6.25E-05,3,6.25E+00
248,Arak,Markazi,-1,0,1,80,518,591756,0.000135191,3,1.35E+01
249,Arak,Markazi,-1,1,1,1,518,591756,1.69E-06,3,1.69E-01
250,Arak,Markazi,0,0,0,36,518,591756,6.08E-05,3,6.08E+00
251,Arak,Markazi,0,0,-1,3,518,591756,5.07E-06,3,5.07E-01
252,Arak,Markazi,0,0,1,15,518,591756,2.53E-05,3,2.53E+00
253,Arak,Markazi,0,0,0,1,518,591756,1.69E-06,3,1.69E-01
254,Arak,Markazi,0,0,-1,3,518,591756,5.07E-06,3,5.07E-01
255,Arak,Markazi,1,-1,-1,19,518,591756,3.21E-05,3,3.21E+00
256,Arak,Markazi,1,-1,1,3,518,591756,5.07E-06,3,5.07E-01
257,Arak,Markazi,1,0,0,1,518,591756,1.69E-06,3,1.69E-01
258,Arak,Markazi,1,0,-1,180,518,591756,0.000304179,3,3.04E+01
259,Arak,Markazi,1,0,1,55,518,591756,9.29E-05,3,9.29E+00
260,Arak,Markazi,1,1,-1,60,518,591756,0.000101393,3,1.01E+01
261,Arak,Markazi,1,1,1,12,518,591756,2.03E-05,3,2.03E+00
262,Aran-o-Bidgol,Isfahan,-1,-1,-1,1,38,103517,9.66E-06,5,9.66E-01
263,Aran-o-Bidgol,Isfahan,-1,-1,1,2,38,103517,1.93E-05,5,1.93E+00
264,Aran-o-Bidgol,Isfahan,-1,0,-1,2,38,103517,1.93E-05,5,1.93E+00
265,Aran-o-Bidgol,Isfahan,-1,0,1,4,38,103517,3.86E-05,5,3.86E+00
266,Aran-o-Bidgol,Isfahan,0,0,1,2,38,103517,1.93E-05,5,1.93E+00
267,Aran-o-Bidgol,Isfahan,1,-1,-1,6,38,103517,5.80E-05,5,5.80E+00
268,Aran-o-Bidgol,Isfahan,1,-1,1,10,38,103517,9.66E-05,5,9.66E+00
269,Aran-o-Bidgol,Isfahan,1,0,-1,2,38,103517,1.93E-05,5,1.93E+00
270,Aran-o-Bidgol,Isfahan,1,0,1,4,38,103517,3.86E-05,5,3.86E+00
271,Aran-o-Bidgol,Isfahan,1,1,1,5,38,103517,4.83E-05,5,4.83E+00
272,Ardabil,Ardabil,-1,-1,1,4,654,605992,6.60E-06,1,6.60E-01
273,Ardabil,Ardabil,-1,0,0,1,654,605992,1.65E-06,1,1.65E-01
274,Ardabil,Ardabil,-1,0,-1,12,654,605992,1.98E-05,1,1.98E+00
275,Ardabil,Ardabil,-1,0,1,134,654,605992,0.000221125,1,2.21E+01
276,Ardabil,Ardabil,-1,1,-1,1,654,605992,1.65E-06,1,1.65E-01
277,Ardabil,Ardabil,0,0,0,1,654,605992,1.65E-06,1,1.65E-01
278,Ardabil,Ardabil,0,0,0,231,654,605992,0.000381193,1,3.81E+01
279,Ardabil,Ardabil,0,0,-1,3,654,605992,4.95E-06,1,4.95E-01
